2025-09-22 at 09:41:43 | INFO | Бот успешно запущен.
2025-09-22 at 09:41:45 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:41:45 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:41:46 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:41:46 | INFO | Найдено 3 записей.
2025-09-22 at 09:41:48 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 09:41:48 | INFO | Найдено 2 записей.
2025-09-22 at 09:43:13 | ERROR | Бот остановлен!
2025-09-22 at 09:43:19 | INFO | Бот успешно запущен.
2025-09-22 at 09:43:20 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:43:20 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:43:23 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:43:23 | INFO | Найдено 3 записей.
2025-09-22 at 09:43:24 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 09:43:24 | INFO | Найдено 2 записей.
2025-09-22 at 09:43:56 | ERROR | Бот остановлен!
2025-09-22 at 09:44:02 | INFO | Бот успешно запущен.
2025-09-22 at 09:44:02 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:44:03 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:44:04 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:44:04 | INFO | Найдено 3 записей.
2025-09-22 at 09:44:05 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 09:44:05 | INFO | Найдено 2 записей.
2025-09-22 at 09:45:10 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:45:10 | INFO | Найдено 3 записей.
2025-09-22 at 09:45:11 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 09:45:11 | INFO | Найдено 2 записей.
2025-09-22 at 09:45:13 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:45:13 | INFO | Найдено 3 записей.
2025-09-22 at 09:47:02 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 2}
2025-09-22 at 09:47:02 | INFO | Найдено 0 записей.
2025-09-22 at 10:25:09 | ERROR | Бот остановлен!
2025-09-22 at 10:52:29 | INFO | Бот успешно запущен.
2025-09-22 at 10:52:36 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 10:52:36 | ERROR | Ошибка при поиске записи по фильтрам {'telegram_id': 1330085937}: (sqlite3.OperationalError) no such table: users
[SQL: SELECT users.telegram_id, users.username, users.first_name, users.last_name, users.id, users.created_at, users.updated_at 
FROM users 
WHERE users.telegram_id = ?]
[parameters: (1330085937,)]
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-09-22 at 10:52:44 | ERROR | Бот остановлен!
2025-09-22 at 11:30:16 | INFO | Бот успешно запущен.
2025-09-22 at 11:30:19 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 11:30:19 | INFO | Запись не найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 11:30:19 | INFO | Добавление записи User с параметрами: {'telegram_id': 1330085937, 'username': 'p_irozhok', 'first_name': 'Вика', 'last_name': None}
2025-09-22 at 11:30:19 | INFO | Запись User успешно добавлена.
2025-09-22 at 11:30:31 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 11:30:31 | INFO | Найдено 0 записей.
2025-09-22 at 11:30:41 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 11:30:41 | INFO | Найдено 0 записей.
2025-09-22 at 11:31:02 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 11:31:02 | INFO | Найдено 0 записей.
2025-09-22 at 11:31:11 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 11:31:11 | INFO | Найдено 0 записей.
2025-09-22 at 11:31:23 | ERROR | Бот остановлен!
2025-09-22 at 11:34:58 | INFO | Бот успешно запущен.
2025-09-22 at 11:35:02 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 11:35:02 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 11:35:04 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 11:35:04 | INFO | Найдено 4 записей.
2025-09-22 at 11:35:05 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 11:35:05 | INFO | Найдено 0 записей.
